epochs,train_losses,test_losses
0,0.23452224660356982,0.5171491986136973
1,0.17787018799930132,0.5067104295662028
2,0.17383867392538233,0.5015403705327326
3,0.1718415792864216,0.49956711814554
4,0.17052140619506406,0.49007138251172466
5,0.16957905121079767,0.4914094158287706
6,0.1688391261830412,0.4857636805509854
7,0.1681721677898236,0.48821788576414
8,0.16766643696861486,0.4882770897547921
9,0.16722765172999557,0.485382029683697
10,0.16676988248715133,0.49201478898796697
11,0.1663919465753287,0.4850811718653454
12,0.16600148909026605,0.4911280449482242
13,0.16571669125773145,0.48656445549693134
14,0.16543825752621125,0.49472314328750233
15,0.165186172342758,0.48635389080432306
16,0.16484151448189205,0.485769731004128
17,0.16462535576055054,0.48653631136257613
18,0.16437336567622077,0.49038361163207594
19,0.16413259734542013,0.48732723197769484
