epochs,train_losses,test_losses
0,0.2191622812165775,0.5003307364531793
1,0.17582932547551744,0.4897626647143625
2,0.17201393975903392,0.48303559350703534
3,0.17010687061329285,0.4791637702922647
4,0.1688818575643768,0.47901707340497524
5,0.1681417692019355,0.47708547503377
6,0.1674856534426205,0.475816580078875
7,0.16695871120141506,0.4763625104096718
8,0.16655928523744706,0.47733927541412413
9,0.1661653980995768,0.47413820571576554
10,0.16587189312618847,0.4764286730011615
11,0.1656802363690078,0.47793697981008637
12,0.16536272016820702,0.4762756265893889
13,0.16507864623597643,0.47761054917161044
14,0.1648513615720443,0.47638731985352933
15,0.16470772116086688,0.4793207788801131
16,0.16451443120539042,0.47589517970724654
17,0.164316450551271,0.4788939833718662
18,0.16408312411735518,0.4753598330620055
19,0.16386774237711138,0.48199867610431585
20,0.16366147414414653,0.47435381220808875
21,0.1634903671524477,0.47672350173039985
22,0.1632798885026947,0.4773367213007684
