epochs,train_losses,test_losses
0,0.2669326912347535,0.2000975955953905
1,0.19940552394776548,0.19673787059823492
2,0.19733615565945672,0.19512320852795434
3,0.1965527410740754,0.19514920002621494
4,0.19597708885773057,0.19448556508638679
5,0.195570738822532,0.19427799953119895
6,0.19519230237178548,0.19379960897783993
7,0.19490971213610203,0.1936939743601353
8,0.1946355922556032,0.19374643201244754
9,0.19443964997213153,0.19333661507109814
10,0.194281013163804,0.19325348519142682
11,0.19412560276105448,0.19321815271073528
12,0.19392378313046388,0.19464865000645837
13,0.19375881847544352,0.19284467353069248
14,0.19361082338906763,0.1929163998144357
15,0.19343399901304179,0.19337595516916367
16,0.1933204187886158,0.19293455282685504
17,0.193241633416657,0.19279723936811854
