epochs,train_losses,test_losses
0,0.8304469356536865,1.2314887315996232
1,0.441716521024704,0.8736384126447863
2,0.3913355450630188,0.705275700938317
3,0.3736984548568726,0.6173716485500336
4,0.3618657901287079,0.5677438320652131
5,0.3533002460002899,0.5352728453374678
6,0.34197942113876345,0.511665552854538
7,0.33595599961280825,0.49585557656903423
8,0.33310872280597686,0.4858867266485768
9,0.3266570163965225,0.47335197079566216
10,0.32116902101039885,0.4698805597520644
11,0.3176898107528687,0.459179941684969
12,0.312137277007103,0.45713174246972604
13,0.30898047518730165,0.44786826737465396
14,0.30494496011734007,0.4399659825909522
15,0.30342502129077914,0.43991012438651056
16,0.2997186356782913,0.4319557384137184
17,0.2967474249601364,0.4307306658837103
18,0.2953799123764038,0.4264705604122531
19,0.29405329501628874,0.422459009193605
20,0.2923855329751968,0.4213451281670601
21,0.2889905070066452,0.4162093977774343
22,0.29056919884681703,0.41831674306623395
23,0.2879165607690811,0.4081401603837167
24,0.285182776927948,0.41088733750004924
25,0.2847390878200531,0.4080975334490499
26,0.28315554416179656,0.4027814490179862
27,0.2811912932395935,0.4065305648311492
28,0.28105469012260437,0.40138547074410225
29,0.2807984390258789,0.4025176561647846
