epochs,train_losses,test_losses
0,0.8359988827705384,0.8557950719710319
1,0.8355665378570557,0.8593547536480811
2,0.8390720391273498,0.8527933532191861
3,0.8386250004768372,0.8562353503319525
4,0.8361051440238952,0.8576529545168723
5,0.8386143527030945,0.8527104969947569
6,0.8370466079711915,0.8506133537138661
7,0.8338435130119324,0.8587250459578729
8,0.8345375688076019,0.8544109098372921
9,0.8367521510124206,0.8509970711123559
10,0.8350940508842468,0.8520431403190859
11,0.8354785256385803,0.853558357684843
12,0.8355147466659546,0.8516069285331234
