epochs,train_losses,test_losses
0,4.055284482817496,2.8717195987701416
1,3.8130180874178485,2.139446973800659
2,3.0541020035743713,1.5187590718269348
3,2.47270917700183,1.8982349634170532
4,2.075150275422681,1.5495775938034058
5,1.813560604087768,1.6419196128845215
6,1.6605396568775177,1.6955071091651917
7,1.5665962215392821,1.5171507000923157
8,1.5024920644298676,1.6124047636985779
9,1.461318216977581,1.613656759262085
10,1.4288844552732283,1.487118899822235
11,1.4093956168620818,1.529401957988739
12,1.3947599616742903,1.5065479278564453
13,1.370200208117885,1.5385499596595764
14,1.3596609715492494,1.6193459630012512
15,1.3464318427347368,1.5389004945755005
16,1.3363466676204436,1.4657955169677734
17,1.3236105615092861,1.346050500869751
18,1.3001845623216322,1.760726809501648
19,1.2798886597156525,1.5861582159996033
20,1.267904281616211,1.6962332725524902
21,1.2461105902348795,1.4768142700195312
22,1.2362237553442679,1.6443073749542236
23,1.2200393167234236,1.924789011478424
24,1.2049780795651097,1.6062840819358826
25,1.1938015126412915,1.623953402042389
26,1.1820533112172158,1.6624959111213684
27,1.175075291625915,1.8578451871871948
28,1.1567331941858414,1.683399498462677
29,1.1504498859567027,1.7100576758384705
